# Simulation Minimum: 0.0 0.0 0.0
# Simulation Maximum: 141.0981 176.00237 130.5685
# Box Minimum: 0.0 88.001185 0.0
# Box Maximum: 70.54905 176.00237 65.28425
# <6683>
# ID	Position (x y z)	Area	type
419	37.6138 94.544 29.22891	lh.fusiform	ex
420	38.05558 95.18924 30.7042	lh.insula	ex
421	38.44011 95.72905 28.79897	lh.insula	ex
422	54.70511 98.64416 23.184	lh.entorhinal	ex
423	53.76755 100.09855 23.0272	lh.entorhinal	ex
424	53.553 99.68941 21.11455	lh.entorhinal	ex
425	51.92255 99.60254 18.73205	lh.entorhinal	ex
426	43.49269 96.13372 8.59438	lh.fusiform	ex
427	46.51402 97.51146 11.7273	lh.entorhinal	ex
428	39.44975 92.92984 17.31847	lh.fusiform	ex
429	39.64743 95.77193 16.63204	lh.fusiform	ex
430	42.18052 95.5638 13.9478	lh.entorhinal	ex
431	41.57083 97.57762 13.76527	lh.entorhinal	ex
432	41.06284 94.83337 15.24274	lh.fusiform	ex
433	43.22117 94.83079 12.48449	lh.fusiform	ex
434	49.11757 101.42555 25.03583	lh.entorhinal	ex
